web-scraper-order,web-scraper-start-url,links,links-href,Business_Name,Phone_Num,Address,Listed_In
"1712330088-11","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Amrutha Swagruha Foods","http://yellowpages.in/b/amrutha-swagruha-foods-kukatpally-hyderabad/327482404","Amrutha Swagruha Foods","+91 40 23061476","Kukatpally
 Hyderabad - 500072","Food & Beverages"
"1712330088-12","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Amrutha Swagruha Foods","http://yellowpages.in/b/amrutha-swagruha-foods-kukatpally-hyderabad/327482404","Amrutha Swagruha Foods","+91 40 23061476","Kukatpally
 Hyderabad - 500072","Food Stores"
"1712330088-13","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Amrutha Swagruha Foods","http://yellowpages.in/b/amrutha-swagruha-foods-kukatpally-hyderabad/327482404","Amrutha Swagruha Foods","+91 40 23061476","Kukatpally
 Hyderabad - 500072","Sweet Shops"
"1712330098-14","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Value Mart Super Market","http://yellowpages.in/b/value-mart-super-market-kondapur-hyderabad/338417179","Value Mart Super Market","+91 040 65656033","Kondapur
 Hyderabad - 500081","Food & Beverages"
"1712330098-15","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Value Mart Super Market","http://yellowpages.in/b/value-mart-super-market-kondapur-hyderabad/338417179","Value Mart Super Market","+91 040 65656033","Kondapur
 Hyderabad - 500081","Food Stores"
"1712330098-16","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Value Mart Super Market","http://yellowpages.in/b/value-mart-super-market-kondapur-hyderabad/338417179","Value Mart Super Market","+91 040 65656033","Kondapur
 Hyderabad - 500081","Supermarkets"
"1712330098-17","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Value Mart Super Market","http://yellowpages.in/b/value-mart-super-market-kondapur-hyderabad/338417179","Value Mart Super Market","+91 040 65656033","Kondapur
 Hyderabad - 500081","Groceries"
"1712330109-18","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sansar Kirana & General Store","http://yellowpages.in/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792","Sansar Kirana & General Store","+91 9703271822","Toli Chowki
 Hyderabad - 500008","Supermarkets"
"1712330109-19","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sansar Kirana & General Store","http://yellowpages.in/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792","Sansar Kirana & General Store","+91 9703271822","Toli Chowki
 Hyderabad - 500008","Groceries"
"1712330109-20","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sansar Kirana & General Store","http://yellowpages.in/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792","Sansar Kirana & General Store","+91 9703271822","Toli Chowki
 Hyderabad - 500008","Food & Beverages"
"1712330109-21","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sansar Kirana & General Store","http://yellowpages.in/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792","Sansar Kirana & General Store","+91 9703271822","Toli Chowki
 Hyderabad - 500008","Food Stores"
"1712330119-22","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Makarand Sweets","http://yellowpages.in/b/makarand-sweets-kondapur-hyderabad/740686558","Makarand Sweets","+91 9885300009","Kondapur
 Hyderabad - 500081","Food & Beverages"
"1712330119-23","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Makarand Sweets","http://yellowpages.in/b/makarand-sweets-kondapur-hyderabad/740686558","Makarand Sweets","+91 9885300009","Kondapur
 Hyderabad - 500081","Food Stores"
"1712330119-24","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Makarand Sweets","http://yellowpages.in/b/makarand-sweets-kondapur-hyderabad/740686558","Makarand Sweets","+91 9885300009","Kondapur
 Hyderabad - 500081","Sweet Shops"
"1712330130-25","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-barkatpura-hyderabad/258449111","More Super Market","+91 9912226108","Barkatpura
 Hyderabad - 500027","Food & Beverages"
"1712330130-26","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-barkatpura-hyderabad/258449111","More Super Market","+91 9912226108","Barkatpura
 Hyderabad - 500027","Food Stores"
"1712330130-27","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-barkatpura-hyderabad/258449111","More Super Market","+91 9912226108","Barkatpura
 Hyderabad - 500027","Groceries"
"1712330140-28","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Spoorthi Super Market","http://yellowpages.in/b/spoorthi-super-market-kukatpally-hyderabad/677042337","Spoorthi Super Market","+91 9704096600","Kukatpally
 Hyderabad - 500072","Food & Beverages"
"1712330140-29","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Spoorthi Super Market","http://yellowpages.in/b/spoorthi-super-market-kukatpally-hyderabad/677042337","Spoorthi Super Market","+91 9704096600","Kukatpally
 Hyderabad - 500072","Food Stores"
"1712330140-30","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Spoorthi Super Market","http://yellowpages.in/b/spoorthi-super-market-kukatpally-hyderabad/677042337","Spoorthi Super Market","+91 9704096600","Kukatpally
 Hyderabad - 500072","Supermarkets"
"1712330140-31","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Spoorthi Super Market","http://yellowpages.in/b/spoorthi-super-market-kukatpally-hyderabad/677042337","Spoorthi Super Market","+91 9704096600","Kukatpally
 Hyderabad - 500072","Groceries"
"1712330150-32","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036","Balaji Grand Bazar","+91 040 23390136","Banjara Hills
 Hyderabad - 500034","Food Stores"
"1712330150-33","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036","Balaji Grand Bazar","+91 040 23390136","Banjara Hills
 Hyderabad - 500034","Supermarkets"
"1712330150-34","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036","Balaji Grand Bazar","+91 040 23390136","Banjara Hills
 Hyderabad - 500034","Food & Beverages"
"1712330150-35","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036","Balaji Grand Bazar","+91 040 23390136","Banjara Hills
 Hyderabad - 500034","Groceries"
"1712330161-36","http://yellowpages.in/hyderabad/food-and-beverages/606286653","M Hospitality","http://yellowpages.in/b/m-hospitality-ameerpet-hyderabad/992820987","M Hospitality","+91 9346252525","Ameerpet
 Hyderabad - 500016","Food & Beverages"
"1712330161-37","http://yellowpages.in/hyderabad/food-and-beverages/606286653","M Hospitality","http://yellowpages.in/b/m-hospitality-ameerpet-hyderabad/992820987","M Hospitality","+91 9346252525","Ameerpet
 Hyderabad - 500016","Catering Services"
"1712330171-38","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Mexican Fried Chicken","http://yellowpages.in/b/mexican-fried-chicken-kukatpally-hyderabad/789577083","Mexican Fried Chicken","+91 9885372723","Kukatpally
 Hyderabad - 500072","Quick Bites"
"1712330171-39","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Mexican Fried Chicken","http://yellowpages.in/b/mexican-fried-chicken-kukatpally-hyderabad/789577083","Mexican Fried Chicken","+91 9885372723","Kukatpally
 Hyderabad - 500072","Pizza Restaurants"
"1712330171-40","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Mexican Fried Chicken","http://yellowpages.in/b/mexican-fried-chicken-kukatpally-hyderabad/789577083","Mexican Fried Chicken","+91 9885372723","Kukatpally
 Hyderabad - 500072","Food & Beverages"
"1712330182-41","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Vijay Milk House","http://yellowpages.in/b/vijay-milk-house-attapur-hyderabad/302029518","Vijay Milk House","+91 9490232741","Attapur
 Hyderabad - 500048","Food & Beverages"
"1712330182-42","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Vijay Milk House","http://yellowpages.in/b/vijay-milk-house-attapur-hyderabad/302029518","Vijay Milk House","+91 9490232741","Attapur
 Hyderabad - 500048","Milk & Milk Products"
"1712330192-43","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Almonds For You (Almond House)","http://yellowpages.in/b/almonds-for-youalmond-house-himayat-nagar-hyderabad/662356554","Almonds For You (Almond House)","+91 9000134442","Himayat Nagar
 Hyderabad - 500029","Food & Beverages"
"1712330192-44","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Almonds For You (Almond House)","http://yellowpages.in/b/almonds-for-youalmond-house-himayat-nagar-hyderabad/662356554","Almonds For You (Almond House)","+91 9000134442","Himayat Nagar
 Hyderabad - 500029","Dry Fruits"
"1712330203-45","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Almonds For You (Almond House)","http://yellowpages.in/b/almonds-for-youalmond-house-banjara-hills-hyderabad/730757669","Almonds For You (Almond House)","+91 9885104999","Banjara Hills
 Hyderabad - 500034","Food & Beverages"
"1712330203-46","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Almonds For You (Almond House)","http://yellowpages.in/b/almonds-for-youalmond-house-banjara-hills-hyderabad/730757669","Almonds For You (Almond House)","+91 9885104999","Banjara Hills
 Hyderabad - 500034","Dry Fruits"
"1712330213-47","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-shaikpet-hyderabad/235944075","More Super Market","+91 9912226240","Shaikpet
 Hyderabad - 500008","Food & Beverages"
"1712330213-48","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-shaikpet-hyderabad/235944075","More Super Market","+91 9912226240","Shaikpet
 Hyderabad - 500008","Food Stores"
"1712330213-49","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-shaikpet-hyderabad/235944075","More Super Market","+91 9912226240","Shaikpet
 Hyderabad - 500008","Supermarkets"
"1712330213-50","http://yellowpages.in/hyderabad/food-and-beverages/606286653","More Super Market","http://yellowpages.in/b/more-super-market-shaikpet-hyderabad/235944075","More Super Market","+91 9912226240","Shaikpet
 Hyderabad - 500008","Groceries"
"1712330224-51","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Anusha Super Market","http://yellowpages.in/b/anusha-super-market-gudi-malkapur-hyderabad/402067031","Anusha Super Market","+91 9866256181","Gudi Malkapur
 Hyderabad - 500028","Food & Beverages"
"1712330224-52","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Anusha Super Market","http://yellowpages.in/b/anusha-super-market-gudi-malkapur-hyderabad/402067031","Anusha Super Market","+91 9866256181","Gudi Malkapur
 Hyderabad - 500028","Food Stores"
"1712330224-53","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Anusha Super Market","http://yellowpages.in/b/anusha-super-market-gudi-malkapur-hyderabad/402067031","Anusha Super Market","+91 9866256181","Gudi Malkapur
 Hyderabad - 500028","Supermarkets"
"1712330224-54","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Anusha Super Market","http://yellowpages.in/b/anusha-super-market-gudi-malkapur-hyderabad/402067031","Anusha Super Market","+91 9866256181","Gudi Malkapur
 Hyderabad - 500028","Groceries"
"1712330234-55","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Naheed Fruits & Juice Centre","http://yellowpages.in/b/naheed-fruitsjuice-centre-mehdipatnam-hyderabad/826199561","Naheed Fruits & Juice Centre","+91 9959062786","Mehdipatnam
 Hyderabad - 500028","Food & Beverages"
"1712330234-56","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Naheed Fruits & Juice Centre","http://yellowpages.in/b/naheed-fruitsjuice-centre-mehdipatnam-hyderabad/826199561","Naheed Fruits & Juice Centre","+91 9959062786","Mehdipatnam
 Hyderabad - 500028","Food Stores"
"1712330234-57","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Naheed Fruits & Juice Centre","http://yellowpages.in/b/naheed-fruitsjuice-centre-mehdipatnam-hyderabad/826199561","Naheed Fruits & Juice Centre","+91 9959062786","Mehdipatnam
 Hyderabad - 500028","Fruits"
"1712330245-58","http://yellowpages.in/hyderabad/food-and-beverages/606286653","S.S. Flour Mill","http://yellowpages.in/b/ss-flour-mill-toli-chowki-hyderabad/830766677","S.S. Flour Mill","+91 9703673286","Toli Chowki
 Hyderabad - 500008","Food & Beverages"
"1712330245-59","http://yellowpages.in/hyderabad/food-and-beverages/606286653","S.S. Flour Mill","http://yellowpages.in/b/ss-flour-mill-toli-chowki-hyderabad/830766677","S.S. Flour Mill","+91 9703673286","Toli Chowki
 Hyderabad - 500008","Food Stores"
"1712330245-60","http://yellowpages.in/hyderabad/food-and-beverages/606286653","S.S. Flour Mill","http://yellowpages.in/b/ss-flour-mill-toli-chowki-hyderabad/830766677","S.S. Flour Mill","+91 9703673286","Toli Chowki
 Hyderabad - 500008","Groceries"
"1712330255-61","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-kondapur-hyderabad/593456806","Balaji Grand Bazar","+91 9581365395","Kondapur
 Hyderabad - 500081","Supermarkets"
"1712330255-62","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-kondapur-hyderabad/593456806","Balaji Grand Bazar","+91 9581365395","Kondapur
 Hyderabad - 500081","Food Stores"
"1712330255-63","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Balaji Grand Bazar","http://yellowpages.in/b/balaji-grand-bazar-kondapur-hyderabad/593456806","Balaji Grand Bazar","+91 9581365395","Kondapur
 Hyderabad - 500081","Food & Beverages"
"1712330266-64","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sampoorna Super Market","http://yellowpages.in/b/sampoorna-super-market-shaikpet-hyderabad/874433979","Sampoorna Super Market","+91 9705975777","Shaikpet
 Hyderabad - 500008","Food & Beverages"
"1712330266-65","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sampoorna Super Market","http://yellowpages.in/b/sampoorna-super-market-shaikpet-hyderabad/874433979","Sampoorna Super Market","+91 9705975777","Shaikpet
 Hyderabad - 500008","Food Stores"
"1712330266-66","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sampoorna Super Market","http://yellowpages.in/b/sampoorna-super-market-shaikpet-hyderabad/874433979","Sampoorna Super Market","+91 9705975777","Shaikpet
 Hyderabad - 500008","Supermarkets"
"1712330276-67","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kikaboni Organic Store","http://yellowpages.in/b/kikaboni-organic-store-manikonda-hyderabad/667478928","Kikaboni Organic Store","+91 9949825000","Manikonda
 Hyderabad - 500089","Food & Beverages"
"1712330276-68","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kikaboni Organic Store","http://yellowpages.in/b/kikaboni-organic-store-manikonda-hyderabad/667478928","Kikaboni Organic Store","+91 9949825000","Manikonda
 Hyderabad - 500089","Food Stores"
"1712330276-69","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kikaboni Organic Store","http://yellowpages.in/b/kikaboni-organic-store-manikonda-hyderabad/667478928","Kikaboni Organic Store","+91 9949825000","Manikonda
 Hyderabad - 500089","Groceries"
"1712330287-70","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Chawla Essence Mart","http://yellowpages.in/b/chawla-essence-mart-secunderabad-hyderabad/573081513","Chawla Essence Mart","+91 40 27812061","Secunderabad
 Hyderabad - 500003","Food & Beverages"
"1712330287-71","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Chawla Essence Mart","http://yellowpages.in/b/chawla-essence-mart-secunderabad-hyderabad/573081513","Chawla Essence Mart","+91 40 27812061","Secunderabad
 Hyderabad - 500003","Food Stores"
"1712330297-72","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sunanda Veg Caterers","http://yellowpages.in/b/sunanda-veg-caterers-safilguda-hyderabad/101525829","Sunanda Veg Caterers","+91 9849019955","Safilguda
 Hyderabad - 500047","Food & Beverages"
"1712330297-73","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sunanda Veg Caterers","http://yellowpages.in/b/sunanda-veg-caterers-safilguda-hyderabad/101525829","Sunanda Veg Caterers","+91 9849019955","Safilguda
 Hyderabad - 500047","Catering Services"
"1712330297-74","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Sunanda Veg Caterers","http://yellowpages.in/b/sunanda-veg-caterers-safilguda-hyderabad/101525829","Sunanda Veg Caterers","+91 9849019955","Safilguda
 Hyderabad - 500047","Wedding Catering Services"
